chronic,Drinking,cancer,EP,visability,FFMC,DMC,DC,ISI
34.69,1006.01,100.09,434.65,78.92,93.5,149.3,728.6,8.1
34.69,1009.04,100.09,429.25,78.92,94.3,85.1,692.3,15.9
34.69,1014.77,100.09,445.55,78.92,88.6,91.8,709.9,7.1
34.69,1002.75,100.09,455.81,78.92,88.6,69.7,706.8,5.8
34.69,1016.28,100.09,455.75,78.92,91.7,75.6,718.3,7.8
35.19,1014.75,100.09,451.7,78.92,91.8,78.5,724.3,9.2
35.19,1020.27,100.09,462.65,78.87,90.3,80.7,730.2,6.3
35.19,1012.64,100.09,474.16,78.87,90.6,35.4,669.1,6.7
35.19,1032.72,100.09,479.4,78.11,90,41.5,682.6,8.7
35.19,1008.69,100.09,480.72,78.05,90.6,43.7,686.9,6.7
35.19,1017.99,100.09,450.98,78.05,88.1,25.7,67.6,3.8
35.19,1014.36,100.09,439.81,78.05,79.5,60.6,366.7,1.5
35.19,1019.28,100.09,473.28,78.05,90.2,96.9,624.2,8.9
35.19,1009.8,100.09,429.5,78.05,94.8,108.3,647.1,17
35.19,1025.38,100.09,471.78,78.05,92.5,88,698.6,7.1
35.4,1012.55,100.09,483.01,78.05,90.1,82.9,735.7,6.2
35.4,1014.69,100.09,452.82,77.95,94.3,85.1,692.3,15.9
35.4,1006.84,100.09,438.08,77.95,90.9,126.5,686.5,7
35.4,1012.41,100.09,451.47,77.95,94.2,62.3,442.9,11
35.47,1009.88,100.09,438.85,77.95,87.2,23.9,64.7,4.1
35.47,1013.1,100.09,460.43,77.95,87.6,52.2,103.8,5
35.47,1002.71,100.09,438.05,77.95,92.9,137,706.4,9.2
35.47,1013.84,100.07,440.26,77.95,90.2,99.6,631.2,6.3
35.47,1012.57,100.07,491.54,77.95,92.1,111.2,654.1,9.6
35.47,1032.88,100.07,477.78,77.95,92.1,111.2,654.1,9.6
35.47,1018.43,100.06,476.54,77.95,91.7,114.3,661.3,6.3
35.47,1009.32,100,479.78,77.95,92.9,137,706.4,9.2
35.47,1013.03,100,462.59,77.95,90.3,80.7,730.2,6.3
35.47,1012.84,99.97,466.7,77.95,92.6,46.5,691.8,8.8
35.57,1000.46,99.94,436.43,77.95,84,9.3,34,2.1
35.57,1011.28,99.94,437.5,77.95,86.6,13.2,43,5.3
35.57,1019.78,99.92,460.76,77.95,89.3,51.3,102.2,9.6
35.57,1011.77,99.91,478.82,77.95,89.3,51.3,102.2,9.6
35.57,1006.24,99.91,431.37,77.95,93,75.3,466.6,7.7
35.57,1007.16,99.9,440.99,77.95,90.2,99.6,631.2,6.3
35.57,1020.04,99.9,452.5,77.95,91.1,103.2,638.8,5.8
35.57,1013.49,99.9,443.58,77.95,91.7,114.3,661.3,6.3
35.57,1010.54,99.9,441.5,77.95,92.4,117.9,668,12.2
35.57,1019.38,99.89,480.71,77.95,92.4,117.9,668,12.2
35.57,1009.28,99.89,437.96,77.95,92.4,117.9,668,12.2
35.71,1004.41,99.86,436.57,77.95,91.7,33.3,77.5,9
35.71,1020.41,99.83,478.06,77.95,91.2,48.3,97.8,12.5
35.71,1017.8,99.82,484.94,77.95,94.3,85.1,692.3,15.9
35.71,1020.6,99.78,481.83,77.95,91.7,33.3,77.5,9
35.71,1012.79,99.77,473.96,77.95,88.8,147.3,614.5,9
35.71,1022.96,99.74,470.33,77.95,93.3,141.2,713.9,13.9
35.71,1020.88,99.73,459.84,77.95,84.2,6.8,26.6,7.7
35.71,1012.39,99.71,435.56,77.95,86.6,13.2,43,5.3
35.76,1008.15,99.68,441.75,77.95,87.6,52.2,103.8,5
35.76,1011.06,99.67,444.19,77.54,90.1,108,529.8,12.5
35.76,1005.5,99.64,443.41,77.54,91,121.2,561.6,7
35.76,1012.27,99.6,436.44,77.54,91.4,142.4,601.4,10.6
35.76,1022.61,99.59,473.39,77.54,90.2,99.6,631.2,6.3
35.76,1017.55,99.59,441.9,77.54,94.8,108.3,647.1,17
35.76,1018,99.55,452.58,77.54,92.1,111.2,654.1,9.6
35.76,1019.81,99.53,453.55,77.54,91.7,114.3,661.3,6.3
35.76,1019.1,99.52,464.65,77.54,92.9,137,706.4,9.2
35.77,1028.38,99.47,464.25,77.54,92.9,137,706.4,9.2
35.77,1016.91,99.46,472.45,77.54,92.9,137,706.4,9.2
35.77,1020.41,99.41,453.58,77.54,93.5,149.3,728.6,8.1
35.77,1009.71,99.35,442.68,77.54,91.7,35.8,80.8,7.8
35.77,1001.51,99.34,454.46,77.54,90.2,96.9,624.2,8.9
35.77,1023.15,99.32,466.2,77.54,91.7,35.8,80.8,7.8
35.77,1016.17,99.31,486.01,77.54,92.3,85.3,488,14.7
35.77,1015.73,99.28,448.5,77.54,91.4,142.4,601.4,10.6
35.77,1013.7,99.28,448.52,77.54,91.1,103.2,638.8,5.8
35.77,1024.94,99.27,471.13,77.3,89.7,90,704.4,4.8
35.77,1011.1,99.22,459.86,77.3,83.9,8,30.2,2.6
35.79,1012.81,99.22,440.3,77.3,69,2.4,15.5,0.7
35.79,1012.89,99.22,436.34,77.3,91.4,142.4,601.4,10.6
35.79,1014.08,99.19,446.55,77.3,91.4,142.4,601.4,10.6
35.79,1012.05,99.16,448.04,77.24,91.4,142.4,601.4,10.6
35.79,1009.66,99.15,457.8,77.24,88.8,147.3,614.5,9
35.79,1012.99,99.14,428.68,77.24,94.8,108.3,647.1,17
35.79,1000.73,99.13,439.37,77.24,92.5,121.1,674.4,8.6
35.79,1011.73,99.12,471.42,77.24,82.1,3.7,9.3,2.9
35.79,1005.09,99.1,477.8,77.24,85.9,19.5,57.3,2.8
35.79,1016.16,99.1,438.83,77.24,91.4,30.7,74.3,7.5
35.79,1005.59,99.1,433.06,77.24,90.2,99.6,631.2,6.3
35.85,1018.44,99.09,469.42,77.24,92.5,88,698.6,7.1
36.08,1014.14,99.08,481.89,77.24,88.6,91.8,709.9,7.1
36.08,1018.4,98.99,466.05,77.24,85.9,19.5,57.3,2.8
36.08,1016.25,98.98,468.87,77.24,91.7,33.3,77.5,9
36.08,1016.18,98.97,447.46,77.24,89.7,90,704.4,4.8
36.08,1022.84,98.9,458.49,77.24,91.8,78.5,724.3,9.2
36.08,1007.45,98.86,466.49,77.17,88.1,25.7,67.6,3.8
36.08,1017.83,98.86,452.33,77.17,88.1,25.7,67.6,3.8
36.08,1023.51,98.84,471.11,77.17,91.7,35.8,80.8,7.8
36.08,1006.85,98.84,433.99,77.17,91.7,35.8,80.8,7.8
36.08,1009.7,98.83,445.97,77.17,90.1,39.7,86.6,6.2
36.18,1015.77,98.82,484.32,77.17,93,75.3,466.6,7.7
36.18,1008.55,98.79,474.16,77.17,91.5,145.4,608.2,10.7
36.18,1008.43,98.78,443.67,77.17,91.5,145.4,608.2,10.7
36.18,1011.96,98.77,491.23,77.17,92.4,124.1,680.7,8.5
36.18,1009.4,98.74,468.55,77.17,84.4,73.4,671.9,3.2
36.18,1007.65,98.71,436.29,77.17,94.3,85.1,692.3,15.9
36.18,1015.53,98.68,452.89,77.17,92.6,46.5,691.8,8.8
36.18,1021.91,98.65,461.89,77.17,87.6,52.2,103.8,5
36.18,1008.02,98.65,433.82,77.17,93.5,149.3,728.6,8.1
36.24,1013.9,98.63,464.67,77.17,91.4,37.9,673.8,5.2
36.24,1019.91,98.62,461.36,76.86,92.6,46.5,691.8,8.8
36.24,1005.89,98.62,434.48,76.86,68.2,21.5,87.2,0.8
36.24,1027.44,98.58,479.43,76.86,87.2,23.9,64.7,4.1
36.24,1012.21,98.58,443.43,76.86,89.3,51.3,102.2,9.6
36.24,1018.8,98.58,461.14,76.86,93.7,80.9,685.2,17.9
36.24,1018.48,98.56,462.77,76.86,88.1,25.7,67.6,3.8
36.24,1010.3,98.56,474.68,76.86,93.5,139.4,594.2,20.3
36.24,1021.36,98.56,472.67,76.86,92.4,124.1,680.7,8.5
36.24,1004.47,98.55,457.83,76.86,90.9,126.5,686.5,7
36.25,1008.99,98.55,433.19,76.86,85.8,48.3,313.4,3.9
36.25,1014.99,98.54,482.52,76.86,91,129.5,692.6,7
36.25,1009.89,98.44,442.16,76.86,90.9,126.5,686.5,7
36.25,1019.6,98.44,462.09,76.86,95.5,99.9,513.3,13.2
36.25,1011.24,98.43,453.36,76.2,90.1,108,529.8,12.5
36.25,1012.7,98.39,475.35,76.2,90,51.3,296.3,8.7
36.25,1016.05,98.36,472.68,76.2,95.5,99.9,513.3,13.2
36.25,1006.33,98.35,426.62,76.2,95.2,131.7,578.8,10.4
36.25,1012.27,98.27,433.77,76.2,90.1,39.7,86.6,6.2
36.25,1012.84,98.27,442.31,76.2,84.4,73.4,671.9,3.2
36.3,1010.34,98.2,441.33,76.2,94.8,108.3,647.1,17
36.3,1010.19,98.17,436.74,76.2,93.7,80.9,685.2,17.9
36.3,1009.19,98.14,431.26,76.2,92.5,56.4,433.3,7.1
36.3,1009.17,98.13,433.44,76.2,90.1,68.6,355.2,7.2
36.3,1015.48,98.1,472.41,76.2,90.1,51.2,424.1,6.2
36.3,1018.01,98.09,474.07,76.2,94.3,85.1,692.3,15.9
36.3,1026.17,98.08,474.87,76.2,93.4,145.4,721.4,8.1
36.3,1011.37,98.08,434.54,76.16,94.8,108.3,647.1,17
36.3,1019.29,98.07,474.1,76.09,93.4,145.4,721.4,8.1
36.3,1017.7,98.07,448.67,76.09,92.1,111.2,654.1,9.6
36.3,1017.55,98.06,443.31,76.09,92.1,111.2,654.1,9.6
36.3,1017.91,98.05,483.88,76.09,92.4,117.9,668,12.2
36.3,1013.79,98.04,475.51,76.09,90.1,39.7,86.6,6.2
36.3,1018.94,98.04,481.89,76.09,95.2,131.7,578.8,10.4
36.3,1015.3,98.04,464.38,76.09,90.6,50.1,100.4,7.8
36.3,1015.83,98.03,462.3,76.09,92.5,121.1,674.4,8.6
36.3,1012.16,98,455.71,76.09,89.7,90,704.4,4.8
36.43,1006.82,98,435.04,76.09,84.9,18.2,55,3
36.54,1015.77,98,433.56,76.09,92.1,111.2,654.1,9.6
36.66,1019.5,97.99,475.61,76.09,96,127.1,570.5,16.5
36.66,1017.45,97.99,444.5,76.09,91.2,48.3,97.8,12.5
36.66,1018.38,97.97,478.47,75.6,95.2,131.7,578.8,10.4
36.66,1015.68,97.96,461.23,75.6,92.9,133.3,699.6,9.2
36.66,1005.13,97.95,431.69,75.6,85.6,90.4,609.6,6.6
36.66,1020.59,97.93,478.13,75.6,91.4,142.4,601.4,10.6
36.66,1026.61,97.93,480.2,75.6,90.9,126.5,686.5,7
36.66,1007.19,97.92,468.35,75.6,90.2,96.9,624.2,8.9
36.66,1003.79,97.89,462.41,75.6,90.2,96.9,624.2,8.9
36.66,1012.64,97.88,432.82,75.6,81.5,9.1,55.2,2.7
36.71,1005.39,97.88,438.63,75.6,90.2,99.6,631.2,6.3
36.71,1003.75,97.85,432.67,75.6,90.1,82.9,735.7,6.2
36.71,1017.25,97.82,484.98,75.6,88.8,147.3,614.5,9
36.71,1018.84,97.82,483.74,75.6,92.4,124.1,680.7,8.5
36.71,1020.32,97.8,451.64,75.6,84.9,32.8,664.2,3
36.71,1016.21,97.8,431.82,75.6,86.8,15.6,48.3,3.9
36.71,1020.92,97.78,474.07,75.6,91.7,48.5,696.1,11.1
36.71,1016.28,97.78,452.66,75.6,93.9,135.7,586.7,15.1
36.71,1011.09,97.76,435.21,75.6,91,129.5,692.6,7
36.71,1007.11,97.71,432.6,75.6,89.3,51.3,102.2,9.6
36.71,1013.19,97.7,449.61,75.6,90.9,126.5,686.5,7
36.71,1020.2,97.69,455.56,75.6,90.8,41.9,89.4,7.9
36.71,1024.75,97.68,478.29,75.6,90.7,44,92.4,5.5
36.71,1009.32,97.64,438.36,75.6,91.2,48.3,97.8,12.5
36.71,1017.52,97.64,461.2,75.6,95.2,131.7,578.8,10.4
36.71,1012.76,97.62,439.98,75.6,94.8,108.3,647.1,17
36.71,1019.83,97.61,455.93,75.6,92.9,133.3,699.6,9.2
36.71,1017.22,97.61,438.41,75.6,94.8,108.3,647.1,17
36.71,1004.56,97.6,448.51,75.6,93.9,135.7,586.7,15.1
36.71,1000.82,97.59,427.71,75.6,81.5,9.1,55.2,2.7
36.71,999.98,97.59,433.47,75.6,92.9,137,706.4,9.2
36.71,1008.68,97.59,430.54,75.6,91,129.5,692.6,7
36.99,1006.76,97.55,431.73,75.6,63.5,70.8,665.3,0.8
36.99,1016.6,97.55,435.58,75.6,91,129.5,692.6,7
36.99,1003.69,97.51,432.75,75.6,90.1,37.6,83.7,7.2
36.99,1008.07,97.51,437.14,75.6,83.9,8.7,32.1,2.1
36.99,1015.02,97.5,443.54,75.6,91.4,37.9,673.8,5.2
36.99,1023.91,97.49,476.37,75.6,90.6,50.1,100.4,7.8
36.99,1011.61,97.49,446.77,75.33,92.9,137,706.4,9.2
36.99,1001.42,97.47,445.83,75.33,93.5,139.4,594.2,20.3
36.99,1007.23,97.46,434.45,75.33,91,129.5,692.6,7
37.14,1005.87,97.46,472.62,75.33,92.4,117.9,668,12.2
37.14,1015.22,97.41,450.38,75.33,93.7,80.9,685.2,17.9
37.14,1011.33,97.41,429.83,75.33,90.6,43.7,686.9,6.7
37.14,998.08,97.4,459.1,75.33,93.5,139.4,594.2,20.3
37.14,1007.03,97.39,440.73,75.33,94.3,85.1,692.3,15.9
37.14,1004.98,97.34,432.93,75.33,87.6,52.2,103.8,5
37.14,1016.92,97.32,450.74,75.33,91.7,35.8,80.8,7.8
37.14,1020.83,97.28,462.87,75.33,91.7,35.8,80.8,7.8
37.14,1011.84,97.27,465,75.33,92.4,124.1,680.7,8.5
37.2,1013.07,97.25,479.09,75.33,88.6,91.8,709.9,7.1
37.2,1005.46,97.25,436.4,75.23,92.9,133.3,699.6,9.2
37.2,1017.53,97.25,473.59,75.23,90.1,39.7,86.6,6.2
37.2,1022.04,97.24,480.96,75.23,90.2,99.6,631.2,6.3
37.2,1015.81,97.23,447.37,75.23,93.3,141.2,713.9,13.9
37.2,1018.89,97.23,479.48,75.23,87.6,52.2,103.8,5
37.2,1021.83,97.22,474.51,75.23,88.3,150.3,309.9,6.8
37.2,1013.22,97.21,494.67,75.23,90.1,82.9,735.7,6.2
37.36,1009,97.2,437.95,75.23,93.5,149.3,728.6,8.1
37.36,1011.07,97.2,443.76,75.23,91.7,48.5,696.1,11.1
37.36,1011.11,97.2,440.98,75.23,92.2,81.8,480.8,11.9
37.49,1006.88,97.19,463.65,75.23,93.5,149.3,728.6,8.1
37.49,1003,97.17,459.83,75.23,92.2,81.8,480.8,11.9
37.49,1019.57,97.17,476.81,75.23,92.9,133.3,699.6,9.2
37.49,1011.06,97.16,441.85,75.23,93.5,149.3,728.6,8.1
37.49,1013.28,97.16,444.76,75.23,91,129.5,692.6,7
37.49,1008.55,97.15,484.75,75.23,84.4,73.4,671.9,3.2
37.49,1013.16,97.13,439.81,75.23,92.5,121.1,674.4,8.6
37.49,1011.22,97.13,443.85,75.08,91.4,142.4,601.4,10.6
37.49,1005.74,97.13,433.44,75.08,92.5,121.1,674.4,8.6
37.49,1016.72,97.12,446.87,75.08,91,129.5,692.6,7
37.49,1020.13,97.11,476.89,75.08,92.5,121.1,674.4,8.6
37.5,1012.53,97.09,479.32,75.08,81.9,3,7.9,3.5
37.5,1010.08,97.07,442.37,75.08,88,17.2,43.5,3.8
37.5,1007.89,97.05,440.75,75.08,83,23.3,85.3,2.3
37.5,1021.82,97.02,476.02,75.08,94.2,122.3,589.9,12.9
37.5,1021.81,97,479.2,75.08,91.8,175.1,700.7,13.8
37.5,1006.3,96.98,434.22,75.08,91.8,175.1,700.7,13.8
37.5,1024.99,96.96,477.45,75.08,91.8,175.1,700.7,13.8
37.5,1018.07,96.89,444.66,75.08,91.8,175.1,700.7,13.8
37.5,1011.33,96.88,440.95,75.08,92.2,91.6,503.6,9.6
37.5,1022.69,96.88,474.55,74.99,93.1,157.3,666.7,13.5
