YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2014-2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,16.1,,,0.5,15.1,17.1,16183,Overall,White,All Ages,All Grades,"(34.865970280000454, -111.76381127699972)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,15.6,,,2.1,11.4,19.8,578,Overall,African American,All Ages,All Grades,"(34.865970280000454, -111.76381127699972)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,13.4,,,1.0,11.5,15.3,3041,Overall,Hispanic,All Ages,All Grades,"(34.865970280000454, -111.76381127699972)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,11.1,,,1.9,7.4,14.8,656,Overall,Asian/Pacific Islander,All Ages,All Grades,"(34.865970280000454, -111.76381127699972)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,AZ,Arizona,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,19.1,,,4.6,10.1,28.1,179,Overall,American Indian/Alaska Native,All Ages,All Grades,"(34.865970280000454, -111.76381127699972)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,AR,Arkansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,24.7,,,0.9,23.0,26.4,7711,Overall,White,All Ages,All Grades,"(34.74865012400045, -92.27449074299966)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,AR,Arkansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,28.1,,,2.4,23.5,32.7,1453,Overall,African American,All Ages,All Grades,"(34.74865012400045, -92.27449074299966)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,AR,Arkansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,16.6,,,3.6,9.6,23.6,204,Overall,Hispanic,All Ages,All Grades,"(34.74865012400045, -92.27449074299966)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,AR,Arkansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,19.2,,,5.2,9.1,29.3,112,Overall,Asian/Pacific Islander,All Ages,All Grades,"(34.74865012400045, -92.27449074299966)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,AR,Arkansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,29.3,,,8.6,12.4,46.2,94,Overall,American Indian/Alaska Native,All Ages,All Grades,"(34.74865012400045, -92.27449074299966)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,CA,California,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,13.5,,,0.4,12.6,14.4,10418,Overall,White,All Ages,All Grades,"(37.63864012300047, -120.99999953799971)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,CA,California,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,18.9,,,1.6,15.8,22.0,923,Overall,African American,All Ages,All Grades,"(37.63864012300047, -120.99999953799971)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,CA,California,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,11.0,,,0.6,9.9,12.1,5582,Overall,Hispanic,All Ages,All Grades,"(37.63864012300047, -120.99999953799971)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,CA,California,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,8.1,,,0.9,6.4,9.8,1599,Overall,Asian/Pacific Islander,All Ages,All Grades,"(37.63864012300047, -120.99999953799971)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,CA,California,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,18.5,,,4.1,10.5,26.5,119,Overall,American Indian/Alaska Native,All Ages,All Grades,"(37.63864012300047, -120.99999953799971)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,CO,Colorado,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,15.0,,,0.4,14.2,15.8,19177,Overall,White,All Ages,All Grades,"(38.843840757000464, -106.13361092099967)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,CO,Colorado,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,23.2,,,2.3,18.6,27.8,624,Overall,African American,All Ages,All Grades,"(38.843840757000464, -106.13361092099967)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,CO,Colorado,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,16.5,,,0.9,14.7,18.3,3104,Overall,Hispanic,All Ages,All Grades,"(38.843840757000464, -106.13361092099967)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,CO,Colorado,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,9.4,,,1.8,6.0,12.8,494,Overall,Asian/Pacific Islander,All Ages,All Grades,"(38.843840757000464, -106.13361092099967)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,CO,Colorado,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,32.4,,,6.7,19.3,45.5,122,Overall,American Indian/Alaska Native,All Ages,All Grades,"(38.843840757000464, -106.13361092099967)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,13.5,,,0.4,12.6,14.4,14408,Overall,White,All Ages,All Grades,"(41.56266102000046, -72.64984095199964)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,17.7,,,1.5,14.7,20.7,1457,Overall,African American,All Ages,All Grades,"(41.56266102000046, -72.64984095199964)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,17.9,,,1.3,15.4,20.4,1660,Overall,Hispanic,All Ages,All Grades,"(41.56266102000046, -72.64984095199964)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,10.6,,,2.2,6.3,14.9,465,Overall,Asian/Pacific Islander,All Ages,All Grades,"(41.56266102000046, -72.64984095199964)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,27.9,,,9.3,9.7,46.1,56,Overall,American Indian/Alaska Native,All Ages,All Grades,"(41.56266102000046, -72.64984095199964)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,19.9,,,0.8,18.3,21.5,5703,Overall,White,All Ages,All Grades,"(39.008830667000495, -75.57774116799965)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,17.2,,,1.6,14.0,20.4,1164,Overall,African American,All Ages,All Grades,"(39.008830667000495, -75.57774116799965)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,11.9,,,1.9,8.1,15.7,470,Overall,Hispanic,All Ages,All Grades,"(39.008830667000495, -75.57774116799965)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,13.2,,,4.2,4.9,21.5,149,Overall,Asian/Pacific Islander,All Ages,All Grades,"(39.008830667000495, -75.57774116799965)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2015,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,25.3,,,1.4,22.7,27.9,2238,Overall,All Races,Age 25 and Older,12th Grade,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,110CSA,1GEN,7AGE,6RAC,4EDU,BRF24,24
2014-2015,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,American Indian/Alaska Native,All Ages,All Grades,"(39.008830667000495, -75.57774116799965)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,7.1,,,0.9,5.3,8.9,3263,Overall,White,All Ages,All Grades,"(38.89037138500049, -77.03196112699965)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,25.3,,,1.4,22.5,28.1,3490,Overall,African American,All Ages,All Grades,"(38.89037138500049, -77.03196112699965)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,12.1,,,3.3,5.6,18.6,257,Overall,Hispanic,All Ages,All Grades,"(38.89037138500049, -77.03196112699965)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,6.4,,,3.0,0.6,12.2,162,Overall,Asian/Pacific Islander,All Ages,All Grades,"(38.89037138500049, -77.03196112699965)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,DC,District of Columbia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,American Indian/Alaska Native,All Ages,All Grades,"(38.89037138500049, -77.03196112699965)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,18.1,,,0.5,17.1,19.1,13446,Overall,White,All Ages,All Grades,"(28.932040377000476, -81.92896053899966)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,14.6,,,1.2,12.3,16.9,1616,Overall,African American,All Ages,All Grades,"(28.932040377000476, -81.92896053899966)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,14.1,,,1.0,12.2,16.0,2264,Overall,Hispanic,All Ages,All Grades,"(28.932040377000476, -81.92896053899966)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,15.3,,,2.7,10.1,20.5,338,Overall,Asian/Pacific Islander,All Ages,All Grades,"(28.932040377000476, -81.92896053899966)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,FL,Florida,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,17.5,,,5.5,6.8,28.2,97,Overall,American Indian/Alaska Native,All Ages,All Grades,"(28.932040377000476, -81.92896053899966)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,19.2,,,0.7,17.8,20.6,6863,Overall,White,All Ages,All Grades,"(32.83968109300048, -83.62758034599966)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,16.0,,,1.1,13.9,18.1,2481,Overall,African American,All Ages,All Grades,"(32.83968109300048, -83.62758034599966)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,11.1,,,2.1,7.0,15.2,375,Overall,Hispanic,All Ages,All Grades,"(32.83968109300048, -83.62758034599966)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,9.4,,,2.5,4.5,14.3,166,Overall,Asian/Pacific Islander,All Ages,All Grades,"(32.83968109300048, -83.62758034599966)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,52.2,,,8.9,34.7,69.7,50,Overall,American Indian/Alaska Native,All Ages,All Grades,"(32.83968109300048, -83.62758034599966)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,GU,Guam,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,14.5,,,2.9,8.8,20.2,356,Overall,White,All Ages,All Grades,"(13.444304, 144.793731)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,GU,Guam,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,African American,All Ages,All Grades,"(13.444304, 144.793731)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,GU,Guam,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,33.7,,,3.9,26.0,41.4,331,Overall,Hispanic,All Ages,All Grades,"(13.444304, 144.793731)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,GU,Guam,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,23.7,,,1.7,20.4,27.0,1742,Overall,Asian/Pacific Islander,All Ages,All Grades,"(13.444304, 144.793731)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,GU,Guam,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,35.9,,,2.3,31.3,40.5,841,Overall,American Indian/Alaska Native,All Ages,All Grades,"(13.444304, 144.793731)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,11.6,,,0.8,10.0,13.2,4380,Overall,White,All Ages,All Grades,"(21.304850435000446, -157.85774940299973)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,19.5,,,5.7,8.2,30.8,92,Overall,African American,All Ages,All Grades,"(21.304850435000446, -157.85774940299973)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,20.0,,,1.8,16.5,23.5,1051,Overall,Hispanic,All Ages,All Grades,"(21.304850435000446, -157.85774940299973)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,10.5,,,0.7,9.2,11.8,4371,Overall,Asian/Pacific Islander,All Ages,All Grades,"(21.304850435000446, -157.85774940299973)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,25.7,,,4.4,17.1,34.3,229,Overall,American Indian/Alaska Native,All Ages,All Grades,"(21.304850435000446, -157.85774940299973)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,ID,Idaho,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,14.6,,,0.5,13.5,15.7,9749,Overall,White,All Ages,All Grades,"(43.682630005000476, -114.3637300419997)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,ID,Idaho,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,African American,All Ages,All Grades,"(43.682630005000476, -114.3637300419997)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,ID,Idaho,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,12.4,,,1.7,9.1,15.7,566,Overall,Hispanic,All Ages,All Grades,"(43.682630005000476, -114.3637300419997)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,ID,Idaho,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,31.3,,,5.9,19.6,43.0,119,Overall,Asian/Pacific Islander,All Ages,All Grades,"(43.682630005000476, -114.3637300419997)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
2014-2015,ID,Idaho,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,24.8,,,6.8,11.5,38.1,88,Overall,American Indian/Alaska Native,All Ages,All Grades,"(43.682630005000476, -114.3637300419997)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
2014-2015,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,16.2,,,0.6,15.0,17.4,7537,Overall,White,All Ages,All Grades,"(40.48501028300046, -88.99771017799969)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
2014-2015,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,20.2,,,1.7,16.9,23.5,1081,Overall,African American,All Ages,All Grades,"(40.48501028300046, -88.99771017799969)",BEH,100BEH,112CS2,1GEN,8AGE,1RAC,6EDU,BRF30,30
2014-2015,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,11.9,,,1.3,9.4,14.4,828,Overall,Hispanic,All Ages,All Grades,"(40.48501028300046, -88.99771017799969)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
2014-2015,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,6.5,,,1.5,3.5,9.5,322,Overall,Asian/Pacific Islander,All Ages,All Grades,"(40.48501028300046, -88.99771017799969)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
